variable,LIMIT_BAL,AGE,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6
LIMIT_BAL,1,0.14471279755733588,0.28542986496498995,0.2783143639977619,0.2832357835816837,0.2939876237159871,0.2955623376582322,0.2903889506479484,0.19523591523220943,0.17840795368370446,0.21016674772338986,0.20324241022458228,0.2172024323954964,0.21959536860441858
AGE,0.14471279755733588,1,0.05623853326056581,0.054283074350341826,0.0537097051786593,0.051353093243320456,0.04934504811261121,0.04761267799051098,0.02614667905698888,0.02178489339261368,0.02924735304501036,0.021379005615589936,0.022849973558558473,0.01947815296986948
BILL_AMT1,0.28542986496498995,0.05623853326056581,1,0.9514836727518166,0.8922785291271811,0.8602721890293086,0.8297786058329928,0.8026501885528523,0.1402772775753244,0.09935503497276844,0.1568871384756863,0.15830253328354152,0.167025712082915,0.17934112200688593
BILL_AMT2,0.2783143639977619,0.054283074350341826,0.9514836727518166,1,0.928326259271487,0.8924822912577246,0.8597783072714428,0.8315935591018226,0.2803653570141007,0.10085087751752837,0.15071819370167547,0.1473981042200115,0.1579574116239641,0.174256165634343
BILL_AMT3,0.2832357835816837,0.0537097051786593,0.8922785291271811,0.928326259271487,1,0.9239694565909824,0.8839096973620093,0.8533200905940506,0.24433523760815923,0.31693597717968836,0.13001118162442066,0.14340460499244465,0.17971235040649178,0.1823259661520526
BILL_AMT4,0.2939876237159871,0.051353093243320456,0.8602721890293086,0.8924822912577246,0.9239694565909824,1,0.9401344040880049,0.9009409547978419,0.23301185215343587,0.20756372904207585,0.3000225291116489,0.13019140778780833,0.16043303762900493,0.17763699418674442
BILL_AMT5,0.2955623376582322,0.04934504811261121,0.8297786058329928,0.8597783072714428,0.8839096973620093,0.9401344040880049,1,0.9461968070521902,0.21703082377804808,0.18124649105227636,0.25230486173062866,0.2931184631844313,0.14157417995960656,0.16418445035361687
BILL_AMT6,0.2903889506479484,0.04761267799051098,0.8026501885528523,0.8315935591018226,0.8533200905940506,0.9009409547978419,0.9461968070521902,1,0.1999650061633856,0.17266293741802888,0.23376979332693473,0.250236824933439,0.307728889501155,0.11549416685164512
PAY_AMT1,0.19523591523220943,0.02614667905698888,0.1402772775753244,0.2803653570141007,0.24433523760815923,0.23301185215343587,0.21703082377804808,0.1999650061633856,1,0.28557552868684277,0.2521911389524023,0.1995579311706808,0.14845927501534328,0.1857352554457276
PAY_AMT2,0.17840795368370446,0.02178489339261368,0.09935503497276844,0.10085087751752837,0.31693597717968836,0.20756372904207585,0.18124649105227636,0.17266293741802888,0.28557552868684277,1,0.24477045029284733,0.18010674364562398,0.18090775259416952,0.15763391627233475
PAY_AMT3,0.21016674772338986,0.02924735304501036,0.1568871384756863,0.15071819370167547,0.13001118162442066,0.3000225291116489,0.25230486173062866,0.23376979332693473,0.2521911389524023,0.24477045029284733,1,0.21632509170084335,0.15921372030871161,0.1627400332918344
PAY_AMT4,0.20324241022458228,0.021379005615589936,0.15830253328354152,0.1473981042200115,0.14340460499244465,0.13019140778780833,0.2931184631844313,0.250236824933439,0.1995579311706808,0.18010674364562398,0.21632509170084335,1,0.15183043582617867,0.15783391560137208
PAY_AMT5,0.2172024323954964,0.022849973558558473,0.167025712082915,0.1579574116239641,0.17971235040649178,0.16043303762900493,0.14157417995960656,0.307728889501155,0.14845927501534328,0.18090775259416952,0.15921372030871161,0.15183043582617867,1,0.15489552525961633
PAY_AMT6,0.21959536860441858,0.01947815296986948,0.17934112200688593,0.174256165634343,0.1823259661520526,0.17763699418674442,0.16418445035361687,0.11549416685164512,0.1857352554457276,0.15763391627233475,0.1627400332918344,0.15783391560137208,0.15489552525961633,1
