model,threshold,accuracy,recall,precision,f1,fpr
Full (all BILL_AMT),0.1,0.3715,0.9503,0.2539,0.4008,0.7929
Reduced (BILL_AMT1 only),0.1,0.3675,0.9533,0.2531,0.4,0.7988
Full (all BILL_AMT),0.25,0.7863,0.5554,0.5157,0.5348,0.1481
Reduced (BILL_AMT1 only),0.25,0.788,0.5539,0.5194,0.5361,0.1455
Full (all BILL_AMT),0.4,0.8155,0.3994,0.631,0.4892,0.0663
Reduced (BILL_AMT1 only),0.4,0.8145,0.3986,0.6268,0.4873,0.0674
Full (all BILL_AMT),0.5499999999999999,0.8115,0.2856,0.6744,0.4013,0.0392
Reduced (BILL_AMT1 only),0.5499999999999999,0.8105,0.2841,0.6684,0.3987,0.04
Full (all BILL_AMT),0.7,0.7957,0.1319,0.7028,0.2221,0.0158
Reduced (BILL_AMT1 only),0.7,0.7955,0.1334,0.6969,0.2239,0.0165
Full (all BILL_AMT),0.85,0.784,0.0392,0.7123,0.0743,0.0045
Reduced (BILL_AMT1 only),0.85,0.7845,0.0399,0.7361,0.0758,0.0041
