Feature,Overall
PAY_02,100
PAY_22,79.38473695124448
PAY_00,63.18371314925679
PAY_32,50.502188178462625
MARRIAGESingle,44.99261000558278
BILL_AMT1,44.60882287235346
SEXFemale,43.34841934706512
LIMIT_BAL,43.335669069405164
SEXMale,41.31659531248717
AGE,39.257833952098785
PAY_AMT1,39.23492146837951
BILL_AMT2,38.38330313613983
PAY_AMT2,38.09879658750256
BILL_AMT3,37.57888241387578
BILL_AMT4,37.16641652650864
EDUCATIONUniversity,36.06777203887727
BILL_AMT6,35.9530523392086
BILL_AMT5,35.873008337270704
PAY_AMT3,35.870013682270354
PAY_42,35.040617678288754
PAY_AMT4,34.547021812552636
PAY_AMT6,34.32839978864305
PAY_AMT5,32.67747070997579
PAY_01,31.028148539714717
PAY_20,28.313440270196438
PAY_52,26.192916592446014
EDUCATIONHighSchool,20.88591972279503
PAY_40,19.639389253595795
PAY_62,16.983864887185245
PAY_30,16.42445825724445
PAY_50,15.973832268116588
PAY_60,14.032932094774722
PAY_03,3.9130356637030452
MARRIAGEOthers,1.6820318679375106
PAY_23,1.560984409777168
EDUCATIONOthers,1.1929751731058174
PAY_33,0.9600242195009304
PAY_53,0.9194476776201949
PAY_43,0.7551582137311316
PAY_63,0.7228914531846078
PAY_44,0.46877627952508527
PAY_54,0.3089716934959792
PAY_24,0.3067587222012766
PAY_34,0.29848037586502957
PAY_04,0.2976834865289166
PAY_64,0.22224276128583464
PAY_57,0.19924978928993384
PAY_47,0.188769863098004
PAY_05,0.15199348304155846
PAY_45,0.14042866751107672
PAY_55,0.1377724810792115
PAY_21,0.1295972876410703
PAY_35,0.09887014614185792
PAY_25,0.09191751942656483
PAY_36,0.08862807876719107
PAY_67,0.07987506827136047
PAY_66,0.07484394461305595
PAY_27,0.06685538628652626
PAY_26,0.06502463518027121
PAY_37,0.056972387314483744
PAY_08,0.046360164278336634
PAY_06,0.04036003809869814
PAY_07,0.029737863379724557
PAY_65,0.021108472673550264
PAY_46,0.020974426363189892
PAY_31,0.006843218209430194
PAY_38,0.004401166935314174
PAY_41,0.0033477085263534626
PAY_68,0.003234168680693774
PAY_28,0.001461722952727744
PAY_56,0.0014487792304003209
PAY_48,8.354718564789039e-4
PAY_58,0
