Feature,Overall,Cover,Frequency
PAY_02,0.4606247349144841,0.22323825644789702,0.058823529411764705
PAY_22,0.1995439947826694,0.16806880437942348,0.058823529411764705
PAY_40,0.15183559479049702,0.19105012836816196,0.058823529411764705
MARRIAGESingle,0.07908261699397322,0.10574443680331345,0.11764705882352941
PAY_AMT2,0.030062305740706088,0.07643789797388836,0.11764705882352941
PAY_32,0.024508429999514282,0.06989856570068335,0.058823529411764705
BILL_AMT1,0.016959395211451664,0.04931707550720616,0.08823529411764706
PAY_03,0.010391776789051172,0.01191888699527365,0.029411764705882353
PAY_52,0.009646917303430735,0.059273268691723016,0.08823529411764706
PAY_62,0.008617510988088557,0.018886439885324263,0.08823529411764706
PAY_AMT3,0.0022718724376958083,0.008377122056296673,0.029411764705882353
AGE,0.001841625874510869,0.0043000775102112225,0.058823529411764705
PAY_42,0.0013926717050124547,0.007012159592477237,0.029411764705882353
BILL_AMT5,0.0013422269128996697,0.002926193760707198,0.029411764705882353
PAY_AMT6,7.794644723160541e-4,0.0019359269396625903,0.029411764705882353
BILL_AMT3,6.697613570522718e-4,3.925381798935476e-4,0.029411764705882353
BILL_AMT6,4.2909972664666586e-4,0.0012222212078568083,0.029411764705882353
